,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
0,1,5,하,2,91%,2%,2%,2%,3%,91%,확률과통계,2025.05.08,학력평가
1,2,1,하,2,91%,91%,2%,2%,4%,2%,확률과통계,2025.05.08,학력평가
2,3,3,중하,3,86%,2%,3%,86%,6%,2%,확률과통계,2025.05.08,학력평가
3,4,1,하,3,90%,90%,3%,3%,2%,1%,확률과통계,2025.05.08,학력평가
4,5,4,하,3,92%,1%,2%,3%,92%,2%,확률과통계,2025.05.08,학력평가
5,6,5,중,3,74%,9%,7%,4%,6%,74%,확률과통계,2025.05.08,학력평가
6,7,2,중,3,78%,4%,78%,9%,6%,2%,확률과통계,2025.05.08,학력평가
7,8,1,중하,3,81%,81%,4%,7%,5%,2%,확률과통계,2025.05.08,학력평가
8,9,4,중,4,70%,2%,10%,14%,70%,4%,확률과통계,2025.05.08,학력평가
9,10,3,중,4,62%,3%,15%,62%,12%,8%,확률과통계,2025.05.08,학력평가
10,11,1,중,4,76%,76%,6%,7%,7%,5%,확률과통계,2025.05.08,학력평가
11,12,3,상,4,46%,5%,18%,46%,18%,13%,확률과통계,2025.05.08,학력평가
12,13,2,상,4,38%,6%,38%,25%,18%,13%,확률과통계,2025.05.08,학력평가
13,14,4,상,4,40%,5%,21%,22%,40%,13%,확률과통계,2025.05.08,학력평가
14,15,5,최상,4,18%,8%,24%,25%,25%,18%,확률과통계,2025.05.08,학력평가
15,16,10,중하,3,86%,14% (주관식),,,,,확률과통계,2025.05.08,학력평가
16,17,2,중하,3,80%,20% (주관식),,,,,확률과통계,2025.05.08,학력평가
17,18,23,중하,3,83%,17% (주관식),,,,,확률과통계,2025.05.08,학력평가
18,19,16,중상,3,57%,43% (주관식),,,,,확률과통계,2025.05.08,학력평가
19,20,110,최상,4,19%,81% (주관식),,,,,확률과통계,2025.05.08,학력평가
20,21,200,최상,4,6%,94% (주관식),,,,,확률과통계,2025.05.08,학력평가
21,22,71,최상,4,4%,96% (주관식),,,,,확률과통계,2025.05.08,학력평가
22,23,5,중하,2,88%,1%,2%,3%,6%,88%,확률과통계,2025.05.08,학력평가
23,24,4,중하,3,88%,2%,3%,5%,88%,2%,확률과통계,2025.05.08,학력평가
24,25,3,중,3,75%,4%,8%,75%,8%,5%,확률과통계,2025.05.08,학력평가
25,26,1,중,3,70%,70%,8%,9%,9%,4%,확률과통계,2025.05.08,학력평가
26,27,3,중,3,72%,8%,6%,72%,9%,5%,확률과통계,2025.05.08,학력평가
27,28,4,상,4,45%,9%,21%,15%,45%,10%,확률과통계,2025.05.08,학력평가
28,29,720,최상,4,9%,91% (주관식),,,,,확률과통계,2025.05.08,학력평가
29,30,376,최상,4,9%,91% (주관식),,,,,확률과통계,2025.05.08,학력평가
30,1,5,하,2,97%,1%,1%,1%,1%,97%,미적분,2025.05.08,학력평가
31,2,1,하,2,98%,98%,0%,1%,1%,0%,미적분,2025.05.08,학력평가
32,3,3,하,3,96%,1%,1%,96%,2%,1%,미적분,2025.05.08,학력평가
33,4,1,하,3,97%,97%,1%,1%,1%,0%,미적분,2025.05.08,학력평가
34,5,4,하,3,97%,1%,1%,1%,97%,1%,미적분,2025.05.08,학력평가
35,6,5,하,3,91%,5%,1%,1%,2%,91%,미적분,2025.05.08,학력평가
36,7,2,하,3,93%,1%,93%,3%,2%,1%,미적분,2025.05.08,학력평가
37,8,1,하,3,94%,94%,1%,2%,2%,1%,미적분,2025.05.08,학력평가
38,9,4,하,4,90%,1%,3%,4%,90%,1%,미적분,2025.05.08,학력평가
39,10,3,중하,4,84%,2%,6%,84%,5%,4%,미적분,2025.05.08,학력평가
40,11,1,하,4,94%,94%,1%,1%,1%,2%,미적분,2025.05.08,학력평가
41,12,3,중,4,67%,3%,10%,67%,11%,10%,미적분,2025.05.08,학력평가
42,13,2,중,4,63%,4%,63%,13%,11%,9%,미적분,2025.05.08,학력평가
43,14,4,중,4,62%,3%,13%,12%,62%,10%,미적분,2025.05.08,학력평가
44,15,5,상,4,35%,6%,21%,18%,20%,35%,미적분,2025.05.08,학력평가
45,16,10,하,3,95%,5% (주관식),,,,,미적분,2025.05.08,학력평가
46,17,2,하,3,94%,6% (주관식),,,,,미적분,2025.05.08,학력평가
47,18,23,하,3,95%,5% (주관식),,,,,미적분,2025.05.08,학력평가
